finishing_position;horse_number;horse_name;horse_id;jockey;trainer;actual_weight;declared_horse_weight;draw;running_position_1;running_position_2;running_position_3;finish_time;finish_time_seconds;race_id;father;mother;gfather
1;6;A CLASS ACT;H_MOTH_041;O. Murphy;M. Johnston;121;1052;12;4;2;2;1.52;103;2012-588;BRIEF TRUCE;DAM OF A CLASS ACT;SECRETARIAT
4;2;ACCLAIMED LIGHT;T369;K C Leung;P O'Sullivan;130;1011;8;9;10;4;1.09.98;69,098;2015-709;ACCLAMATION;ANNEE LUMIERE;GIANT'S CAUSEWAY
4;2;ACCLAIMED LIGHT;T369;K C Leung;P O'Sullivan;130;1002;3;5;3;4;1.10.00;70;2016-084;ACCLAMATION;ANNEE LUMIERE;GIANT'S CAUSEWAY
1;4;ACCLAMATION;H_FATH_120;R. Moore;A. P. O'Brien;126;1097;5;3;3;1;1.35;110;2006-291;NORTHERN DANCER;DAM OF ACCLAMATION;NEARCO
4;9;AGENT SECRET;H_FATH_141;R. Moore;A. P. O'Brien;126;1129;2;3;2;1;1.45;98;2006-282;SADLER'S WELLS;DAM OF AGENT SECRET;BOLD RULER
3;3;AGNETHA;H_MOTH_081;J. Doyle;Sir Michael Stoute;121;1069;11;5;3;4;1.59;118;2007-372;BIG SHUFFLE;DAM OF AGNETHA;SECRETARIAT
5;10;AIR CHIEF MARSHAL;H_FATH_131;L. Dettori;John Gosden;126;1127;5;4;4;2;1.56;114;2010-113;SADLER'S WELLS;DAM OF AIR CHIEF MARSHAL;BOLD RULER
5;10;ALAMOSA;H_FATH_015;R. Moore;A. P. O'Brien;126;1149;4;3;4;3;1.55;106;2008-212;SADLER'S WELLS;DAM OF ALAMOSA;BOLD RULER
9;1;ALBICELESTE;P273;A Atzeni;J Moore;133;1073;7;11;11;9;0.57.30;57,03;2014-226;OLYMPIC GLORY;CELESTE;MUHTATHIR
2;4;ALERT;H_FATH_020;C. Soumillon;John Gosden;126;1097;7;2;3;2;1.42;97;2007-213;NORTHERN DANCER;DAM OF ALERT;NEARCO
5;7;ALIGN;H_GFATH_025;Legacy Jockey;Legacy Trainer;128;1101;9;2;1;4;2.04;121;2004-944;NATIVE DANCER;DAM OF ALIGN;NASRULLAH
9;2;ALL BEST FRIENDS;A217;H W Lai;K L Man;126;1054;10;8;10;9;0.57.65;57,065;2016-532;STREET CRY;AMBITIOUS LADY;ANABAA
3;2;ALL BEST FRIENDS;A217;H W Lai;K L Man;121;1067;5;5;4;3;1.09.64;69,064;2016-749;STREET CRY;AMBITIOUS LADY;ANABAA
9;8;ALL BEST FRIENDS;A217;H N Wong;K L Man;116;1073;7;9;9;9;1.11.11;71,011;2016-806;STREET CRY;AMBITIOUS LADY;ANABAA
4;6;ALL YOU WISH;P031;Z Purton;C H Yip;125;1180;9;13;11;4;0.56.15;56,015;2014-522;SHOWCASING;MOMENT OF TIME;RAINBOW QUEST
8;12;ALL YOU WISH;P031;K C Leung;C H Yip;114;1187;12;11;10;8;0.56.50;56,05;2015-071;SHOWCASING;MOMENT OF TIME;RAINBOW QUEST
4;6;ALL YOU WISH;P031;K Teetan;C H Yip;113;1196;1;7;7;4;0.56.57;56,057;2016-072;SHOWCASING;MOMENT OF TIME;RAINBOW QUEST
9;2;ALL YOU WISH;P031;N Rawiller;C H Yip;132;1182;6;11;12;9;1.08.81;68,081;2016-551;SHOWCASING;MOMENT OF TIME;RAINBOW QUEST
3;2;ALL YOU WISH;P031;O Bosson;C H Yip;132;1179;10;14;13;3;1.08.99;68,099;2015-677;SHOWCASING;MOMENT OF TIME;RAINBOW QUEST
